date	Putumayo
201201	1
201202	1
201205	1
201208	2
201209	1
201212	1
201301	8
201302	4
201303	6
201304	4
201305	2
201306	4
201307	4
201308	2
201309	5
201310	2
201401	7
201402	5
201403	6
201404	4
201405	3
201406	5
201407	5
201408	5
201409	7
201411	1
201601	2
201602	11
201603	5
201604	3
201605	2
201606	5
201607	5
201608	4
201609	6
201610	8
201611	8
201612	3
