date	Huila
201201	13
201202	8
201203	6
201204	3
201205	1
201206	8
201207	7
201208	8
201209	11
201210	10
201211	4
201212	4
201301	7
201302	24
201303	21
201304	11
201305	22
201306	19
201307	18
201308	21
201309	14
201310	5
201311	2
201312	6
201401	18
201402	15
201403	17
201404	17
201405	25
201406	13
201407	26
201408	33
201409	25
201410	11
201411	19
201412	5
201601	20
201602	30
201603	18
201604	22
201605	11
201606	17
201607	15
201608	10
201609	5
201610	7
201611	8
201612	13
