date	NortedeSantander
201201	11
201202	4
201203	7
201204	2
201205	17
201206	26
201207	2
201208	8
201209	4
201210	4
201211	4
201212	3
201301	16
201302	17
201303	7
201304	11
201305	14
201306	8
201307	9
201308	7
201309	6
201310	6
201311	1
201312	1
201401	11
201402	11
201403	11
201404	9
201405	9
201406	10
201407	9
201408	16
201409	27
201410	9
201411	16
201412	3
201601	22
201602	22
201603	27
201604	19
201605	34
201606	11
201607	16
201608	13
201609	25
201610	20
201611	25
201612	26
