date	Cauca
201201	11
201202	4
201203	7
201204	2
201205	11
201206	5
201207	3
201208	1
201209	1
201210	4
201211	5
201212	4
201301	30
201302	30
201303	24
201304	23
201305	22
201306	25
201307	31
201308	20
201309	34
201310	10
201311	2
201312	3
201401	12
201402	23
201403	15
201404	30
201405	18
201406	29
201407	23
201408	33
201409	31
201410	17
201411	12
201412	6
201601	26
201602	29
201603	18
201604	28
201605	26
201606	36
201607	21
201608	20
201609	20
201610	14
201611	16
201612	14
