date	Antioquia
201201	18
201202	34
201203	44
201204	24
201205	37
201206	29
201207	40
201208	22
201209	30
201210	41
201211	19
201212	19
201301	73
201302	96
201303	82
201304	106
201305	105
201306	84
201307	89
201308	94
201309	69
201310	46
201311	14
201312	12
201401	68
201402	65
201403	53
201404	45
201405	52
201406	40
201407	48
201408	32
201409	38
201410	35
201411	32
201412	13
201601	103
201602	74
201603	79
201604	86
201605	29
201606	36
201607	43
201608	49
201609	47
201610	39
201611	31
201612	48
