date	Cundinamarca
201201	25
201202	40
201203	39
201204	20
201205	34
201206	17
201207	26
201208	17
201209	21
201210	21
201211	8
201212	6
201301	47
201302	46
201303	39
201304	69
201305	37
201306	30
201307	65
201308	29
201309	41
201310	38
201311	24
201312	17
201401	44
201402	62
201403	58
201404	42
201405	38
201406	31
201407	37
201408	33
201409	49
201410	19
201411	13
201412	3
201601	59
201602	81
201603	72
201604	63
201605	33
201606	28
201607	22
201608	47
201609	60
201610	34
201611	36
201612	51
