date	Magdalena
201201	3
201202	10
201203	6
201204	3
201205	8
201206	1
201208	8
201209	7
201210	4
201211	3
201301	14
201302	19
201303	16
201304	12
201305	11
201306	15
201307	17
201308	14
201309	15
201310	10
201311	1
201312	7
201401	14
201402	17
201403	15
201404	3
201405	13
201406	9
201407	11
201408	17
201409	18
201410	10
201411	6
201601	21
201602	25
201603	15
201604	12
201605	11
201606	8
201607	13
201608	16
201609	15
201610	7
201611	6
201612	10
