date	Casanare
201201	8
201202	9
201203	9
201204	6
201205	7
201206	2
201207	1
201208	3
201209	2
201210	19
201211	18
201212	3
201301	9
201302	13
201303	14
201304	6
201305	11
201306	6
201307	19
201308	5
201309	17
201310	16
201311	6
201312	2
201401	8
201402	10
201403	9
201404	6
201405	10
201406	12
201407	18
201408	21
201409	10
201410	18
201411	8
201412	5
201601	12
201602	26
201603	11
201604	22
201605	14
201606	11
201607	12
201608	15
201609	14
201610	10
201611	3
201612	12
