date	Cesar
201201	2
201202	4
201203	3
201204	4
201205	1
201206	4
201207	3
201208	3
201209	2
201210	5
201211	2
201212	6
201301	14
201302	15
201303	13
201304	9
201305	16
201306	10
201307	14
201308	21
201309	10
201310	13
201311	4
201312	2
201401	13
201402	15
201403	14
201404	7
201405	11
201406	12
201407	16
201408	9
201409	11
201410	17
201411	5
201412	12
201601	17
201602	18
201603	16
201604	17
201605	18
201606	15
201607	16
201608	4
201609	10
201610	2
201611	1
201612	6
