date	Arauca
201201	6
201202	6
201203	5
201204	7
201206	5
201207	4
201208	6
201209	13
201210	7
201211	2
201212	2
201301	6
201302	5
201303	4
201304	5
201305	3
201306	5
201307	6
201308	7
201309	9
201310	10
201311	5
201312	2
201401	7
201402	1
201403	5
201404	3
201405	14
201406	2
201408	15
201409	11
201410	5
201411	2
201601	5
201602	14
201603	11
201604	5
201605	12
201606	14
201607	5
201608	10
201609	12
201610	6
201611	4
201612	5
