date	Guajira
201201	6
201202	13
201203	10
201204	4
201205	8
201206	7
201207	11
201208	9
201209	12
201210	5
201211	12
201212	4
201301	6
201302	14
201303	10
201304	18
201305	10
201306	14
201307	12
201308	6
201309	7
201310	15
201311	5
201312	9
201401	9
201402	6
201403	12
201404	4
201405	13
201406	13
201407	15
201408	8
201409	7
201410	11
201411	7
201412	2
201601	13
201602	15
201603	24
201604	13
201605	6
201606	6
201607	7
201608	12
201609	8
201611	1
201612	12
