date	Meta
201201	30
201202	17
201203	11
201204	18
201205	26
201206	14
201207	7
201208	7
201209	10
201210	8
201211	7
201212	8
201301	49
201302	49
201303	36
201304	30
201305	36
201306	27
201307	34
201308	30
201309	23
201310	25
201311	14
201312	6
201401	50
201402	50
201403	42
201404	39
201405	36
201406	49
201407	56
201408	57
201409	42
201410	11
201411	1
201412	4
201601	43
201602	59
201603	51
201604	31
201605	34
201606	10
201607	11
201608	14
201609	9
201610	8
201611	12
201612	18
